"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0006261","DNA-templated DNA replication",103,0.494936664974906,2.78068678364787,1e-10,4.062e-07,3.45263157894737e-07,756,"tags=42%, list=10%, signal=38%","4998/55388/4683/641/64318/8318/6240/63901/92667/7083/10269/6117/990/2237/9156/10721/23594/5422/4174/5983/672/51053/5985/5557/675/79915/8914/201254/11143/4172/5984/9134/253714/4176/29980/5932/144455/5982/11169/55159/5558/10111/1663"
"GO:0003012","muscle system process",152,-0.53336486198577,-1.98669563927132,5.15156172182455e-10,1.04628218570257e-06,8.89322234083396e-07,557,"tags=26%, list=8%, signal=24%","10142/817/8654/1605/2309/2946/3720/9472/10060/5290/2593/6546/5997/114907/801/1760/624/274/8082/23213/2628/7138/5587/3488/287/6442/6332/3759/6641/29995/90523/1134/7135/10324/7139/6261/2308/1146/3479"
"GO:0007517","muscle organ development",150,-0.52608942787733,-1.95995298963432,1.293542967715e-09,1.75145717828611e-06,1.48870909968603e-06,1752,"tags=47%, list=24%, signal=36%","6443/23060/6198/8531/2033/10370/4088/4666/257194/3344/2218/8087/5925/2065/10521/1291/6498/6444/80208/2353/51111/79810/1301/1073/5532/140465/2115/51542/657/4209/1106/54583/8321/2121/6840/2697/688/79647/7046/55553/3908/1605/64208/10791/10290/10060/221662/22933/51804/9242/1281/6495/10472/7832/3481/2817/1958/84466/6442/4208/445/1134/7135/70/10324/7139/6261/101929726/146862/3479"
"GO:0061061","muscle structure development",321,-0.440859039295893,-1.7027925960525,3.30959205849481e-09,3.36089073540148e-06,2.85670051364815e-06,1752,"tags=40%, list=24%, signal=32%","6443/23060/6599/6198/8531/7528/55274/9325/2033/10370/4088/4666/29117/4217/144165/257194/3344/8554/3913/2218/8087/207/5925/2034/3856/2065/10521/1291/3020/5156/6498/6444/80208/80206/23236/11214/23345/10818/5592/2353/51111/5159/3398/79810/90/1301/1073/1140/100381270/1466/5532/140465/2115/115701/51542/9780/657/840/4209/1106/2318/54583/8321/975/9444/2121/6840/23646/2697/85461/688/79647/7046/6659/55553/3908/6934/6272/1605/6604/5573/64208/10791/10290/23363/9472/10060/6546/5997/221662/84665/677/8038/22933/1760/51804/4086/9242/274/1281/694/6495/10472/7832/3481/8572/2817/7138/1958/84466/5587/3488/27250/287/6442/4208/445/1134/57538/7135/70/10324/7139/6261/101929726/11096/146862/27295/3479"
"GO:0045087","innate immune response",373,-0.422710240971091,-1.64414996815507,2.03784739473147e-08,1.65554722347984e-05,1.4071872536251e-05,1863,"tags=39%, list=26%, signal=30%","10133/54726/9641/5771/23369/54765/64343/8780/51667/112936/3140/6198/340061/9782/373/4780/2033/29110/4061/23180/4217/4671/57337/3460/27246/207/6812/3716/24138/961/6223/1540/5608/10270/10581/3588/10010/4940/5291/10906/8878/6814/22841/103/25939/4792/26268/5610/8467/3133/55284/23325/4790/85364/29915/5295/6170/56907/8575/834/8887/1374/80254/7157/127018/51135/9830/85363/2934/3106/2896/7706/84675/10318/3958/3105/7474/6737/567/54809/3430/26472/83862/5371/140691/57169/56897/8473/10410/26060/7318/256987/10346/10435/81603/2633/4600/10475/23052/6197/3659/84937/9181/3437/10417/7105/9246/9867/22890/3075/3428/151636/53840/9683/1191/2537/801/22933/9636/8519/5359/54625/715/4599/716/6772/11274/4939/144811/4938/83666/55601/2534/64135/3433/3434/5587/6773/51191/6347/445/2634/5919/5272/91543"
"GO:0090257","regulation of muscle system process",87,-0.575724181493337,-2.03503944448021,2.6419284694028e-08,1.78858557378569e-05,1.52026761046336e-05,557,"tags=30%, list=8%, signal=28%","10142/817/8654/1605/2309/2946/3720/9472/6546/5997/114907/801/1760/274/7138/5587/3488/287/6442/3759/29995/90523/7135/7139/2308/3479"
"GO:0006270","DNA replication initiation",27,0.697734659749072,2.75985868705338,3.73010511634581e-08,1.89396087282458e-05,1.60983483968608e-05,1064,"tags=74%, list=15%, signal=63%","4998/55388/4683/64318/8318/990/23594/5422/4174/51053/5557/11143/4172/9134/4176/5558/11073/23649/4173/4175"
"GO:0140546","defense response to symbiont",379,-0.418862782076915,-1.63032346478255,3.62624331788518e-08,1.89396087282458e-05,1.60983483968608e-05,1863,"tags=38%, list=26%, signal=30%","10133/54726/9641/5771/23369/54765/64343/8780/51667/112936/3140/6198/340061/9782/373/4780/2033/29110/4061/23180/4217/4671/57337/3460/27246/207/6812/3716/24138/961/6223/1540/5608/10270/10581/3588/10010/4940/5291/10906/8878/6814/22841/103/25939/4792/26268/5610/8467/3133/55284/23325/4790/85364/29915/5295/6170/56907/8575/834/8887/1374/80254/7157/127018/51135/9830/85363/2934/3106/2896/7706/84675/10318/3958/3105/7474/6737/567/54809/3430/26472/83862/5371/140691/57169/56897/8473/10410/26060/7318/256987/10346/10435/81603/2633/4600/10475/23052/6197/3659/84937/9181/3437/10417/7105/9246/9867/22890/3075/3428/151636/53840/9683/1191/2537/801/22933/9636/8519/5359/54625/715/4599/716/6772/11274/4939/144811/4938/83666/55601/2534/64135/3433/3434/5587/6773/51191/6347/445/2634/5919/5272/91543"
"GO:0043500","muscle adaptation",48,-0.652303227806347,-2.13158639283837,6.38425456668679e-08,2.88142689443131e-05,2.44916432499797e-05,531,"tags=40%, list=7%, signal=37%","3572/2934/817/8654/1605/2309/3720/9472/5997/114907/2628/7138/3488/6442/29995/90523/7135/2308/3479"
"GO:0043502","regulation of muscle adaptation",42,-0.681247580312925,-2.1835805079016,7.32763598191764e-08,2.97648573585494e-05,2.52996273901998e-05,531,"tags=38%, list=7%, signal=36%","817/8654/1605/2309/3720/9472/5997/114907/7138/3488/6442/29995/90523/7135/2308/3479"
